module,why_unmounted,suggested_action,route_count,imports_data_layer,lines,origin_pr_or_subject,origin_date,casing_fix
scoring_coverage_audit_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",2,True,131,build: scoring_coverage_audit_api (#1554),2026-07-16,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
scoring_gap_analysis_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",2,True,157,build: scoring_gap_analysis_api (#1464),2026-07-14,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
server_freshness_dashboard_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",2,True,137,build: server_freshness_dashboard_api (#1434),2026-07-12,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
server_risk_tier_computation_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",2,True,190,build: server_risk_tier_computation_api (#1327),2026-07-07,McpLlmAxisScores->McpLlmAxisScore
server_scoring_status_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",2,True,158,build: build_server_scoring_status_api (#1750),2026-07-23,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScore->McpLlmAxisScore
server_verdict_scoring_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",2,True,248,build: server_verdict_scoring_api (#1330),2026-07-07,MCPServerRegistry->McpServerRegistry;MCPLlmAxisScore->McpLlmAxisScore
verdict_changes_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",2,True,195,build: verdict_changes_api (#1318),2026-07-07,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
verdict_dashboard_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",2,False,145,build: build_verdict_dashboard_api (#587),2026-06-25,McpLlmAxisScores->McpLlmAxisScore
verdict_distribution_summary_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",2,True,141,build: verdict_distribution_summary_api (#1700),2026-07-21,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
adversarial_description_probe,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,104,build: adversarial_description_probe (#1605),2026-07-18,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore;MCPScoreDisputes->McpScoreDispute
app_axis_scores_overall_risk_router,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,148,build: app_axis_scores_overall_risk_router (#1698),2026-07-21,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
app_score_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,306,build: app_score_api (#1455),2026-07-13,MCPLLMAxisScore->McpLlmAxisScore
ask_question_intent_routing_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,145,build: ask_question_intent_routing_api (#1336),2026-07-08,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
axis_critical_servers_bulk_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,118,build: build_axis_critical_servers_bulk_api (#1457),2026-07-13,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
axis_evidence_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,66,build: build_axis_evidence_api (#1192),2026-07-02,MCPLLMAxisScores->McpLlmAxisScore
axis_score_variance_report,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,205,build: axis_score_variance_report (#1772),2026-07-24,McpLlmAxisScores->McpLlmAxisScore
axis_scores_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,162,build: axis_scores_api (#1511),2026-07-15,MCPLLMAxisScores->McpLlmAxisScore
axis_scores_summary_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,79,build: axis_scores_summary_api (#1549),2026-07-16,MCPLLMAxisScores->McpLlmAxisScore
axis_top_servers_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,111,build: axis_top_servers_api (#1325),2026-07-07,McpLlmAxisScores->McpLlmAxisScore
axis_top_servers_by_critical_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,185,build: axis_top_servers_by_critical_api (#1393),2026-07-10,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
deferred_router_triage_report,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,98,build: build_deferred_router_triage_report (#1752),2026-07-23,MCPServerRegistry->McpServerRegistry
directive_queue_health_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,111,build: directive_queue_health_api (#1607),2026-07-18,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore;MCPScoreDisputes->McpScoreDispute
factory_liveness_continuity_probe,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,96,build: build_factory_liveness_continuity_probe (#1672),2026-07-20,MCPServerRegistry->McpServerRegistry
family_rollup_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,151,build: build_family_rollup_api (#1627),2026-07-19,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
fleet_risk_tier_trend_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,157,build: fleet_risk_tier_trend_api (#1407),2026-07-10,MCPServerRegistry->McpServerRegistry
gate_attribution_report,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,68,build: build_gate_attribution_report (#1671),2026-07-20,MCPServerRegistry->McpServerRegistry
high_risk_servers_export_csv,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,173,build: high_risk_servers_export_csv (#1509),2026-07-15,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
high_value_servers_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,94,build: high_value_servers_api (#1485),2026-07-15,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
ladder_rung_convergence_report,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,156,build: build_ladder_rung_convergence_report (#1629),2026-07-19,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
mcp_axis_score_history_view,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,102,build: build_mcp_axis_score_history_view (#1187),2026-07-02,McpLlmAxisScores->McpLlmAxisScore
mcp_latest_axis_scores_view,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,95,build: build_mcp_latest_axis_scores_view (#1257),2026-07-04,McpLlmAxisScores->McpLlmAxisScore
mcp_llm_axis_scores_comparison_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,176,build: mcp_llm_axis_scores_comparison_api (#1354),2026-07-09,MCPLLMAxisScores->McpLlmAxisScore
mcp_llm_axis_scores_trend_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,196,build: axis_scores_trend_api (#1362),2026-07-09,McpLlmAxisScores->McpLlmAxisScore
mcp_risk_tier_aggregator_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,225,build: mcp_risk_tier_aggregator_api (#1403),2026-07-10,MCPLLMAxisScore->McpLlmAxisScore
mcp_risk_tier_comparison_analysis_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,135,build: build_mcp_risk_tier_comparison_analysis_api (#1210),2026-07-03,MCPServerRegistry->McpServerRegistry
mcp_risk_tier_comparison_analysis_dashboard_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,80,build: build_mcp_risk_tier_comparison_analysis_dashboard_api (#1276),2026-07-04,MCPServerRegistry->McpServerRegistry
mcp_risk_tier_comparison_analysis_view,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,80,build: build_mcp_risk_tier_comparison_analysis_view (#1158),2026-07-02,MCPServerRegistry->McpServerRegistry
mcp_risk_tier_comparison_dashboard_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,67,build: build_mcp_risk_tier_comparison_dashboard_api (#1273),2026-07-04,MCPServerRegistry->McpServerRegistry
mcp_risk_tier_detail_analysis_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,98,build: build_mcp_risk_tier_detail_analysis_api (#1208),2026-07-03,MCPServerRegistry->McpServerRegistry
mcp_risk_tier_detail_dashboard_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,119,build: build_mcp_risk_tier_detail_dashboard_api (#1275),2026-07-04,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore;MCPScoreDisputes->McpScoreDispute
mcp_risk_tier_distribution_analysis_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,68,build: build_mcp_risk_tier_distribution_analysis_api (#1202),2026-07-03,MCPServerRegistry->McpServerRegistry
mcp_risk_tier_distribution_analysis_dashboard_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,75,build: build_mcp_risk_tier_distribution_analysis_dashboard_api (#1274),2026-07-04,MCPServerRegistry->McpServerRegistry
mcp_risk_tier_overview_analysis_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,74,build: build_mcp_risk_tier_overview_analysis_api (#1288),2026-07-04,MCPServerRegistry->McpServerRegistry
mcp_risk_tier_overview_dashboard_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,125,build: build_mcp_risk_tier_overview_dashboard_api (#1286),2026-07-04,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore;MCPScoreDisputes->McpScoreDispute
mcp_risk_tier_trend_analysis_dashboard_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,85,build: build_mcp_risk_tier_trend_analysis_dashboard_api (#1277),2026-07-04,MCPServerRegistry->McpServerRegistry
mcp_risk_tier_trend_analysis_dashboard_view,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,101,build: build_mcp_risk_tier_trend_analysis_dashboard_view (#1154),2026-07-02,MCPServerRegistry->McpServerRegistry
mcp_server_axis_probabilities_analysis_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,57,build: build_mcp_server_axis_probabilities_analysis_api (#1209),2026-07-03,McpLlmAxisScores->McpLlmAxisScore
mcp_server_axis_probabilities_analysis_view,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,114,build: build_mcp_server_axis_probabilities_analysis_view (#1218),2026-07-03,McpLlmAxisScores->McpLlmAxisScore
mcp_server_axis_probabilities_dashboard_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,153,build: build_mcp_server_axis_probabilities_dashboard_api (#1268),2026-07-04,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
mcp_server_axis_probabilities_dashboard_view_integration,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,38,build: build_mcp_server_axis_probabilities_dashboard_view_integration ,2026-07-03,McpScoreDisputes->McpScoreDispute;McpLlmAxisScores->McpLlmAxisScore
mcp_server_registry_overview_dashboard_view,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,137,build: build_mcp_server_registry_overview_dashboard_view (#1140),2026-07-02,McpLlmAxisScores->McpLlmAxisScore;McpScoreDisputes->McpScoreDispute
mcp_server_registry_source_distribution_analysis_view,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,48,build: build_mcp_server_registry_source_distribution_analysis_view (#1,2026-07-03,MCPServerRegistry->McpServerRegistry
mcp_signal_scores_distribution_dashboard_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,139,build: build_mcp_signal_scores_distribution_dashboard_api (#1265),2026-07-04,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore;MCPScoreDisputes->McpScoreDispute
mcp_submissions_admin_list_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,129,build: build_mcp_submissions_admin_list_api (#1360),2026-07-09,MCPServerRegistry->McpServerRegistry
metamorphic_scoring_probe,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,121,build: metamorphic_scoring_probe (#1606),2026-07-18,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
never_scored_backlog_rollup,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,118,build: build_never_scored_backlog_rollup (#1536),2026-07-16,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
never_scored_burndown_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,135,build: never_scored_burndown_api (#1569),2026-07-17,McpLlmAxisScores->McpLlmAxisScore
org_fleet_risk_summary_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,218,build: org_fleet_risk_summary_api (#1428),2026-07-11,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
org_health_dashboard,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,109,build: build_org_health_dashboard (#1661),2026-07-20,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore;MCPScoreDisputes->McpScoreDispute
org_server_risk_tier_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,68,build: org_server_risk_tier_api (#1524),2026-07-16,MCPServerRegistry->McpServerRegistry
orphan_router_caller_probe,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,78,build: build_orphan_router_caller_probe (#1709),2026-07-21,MCPServerRegistry->McpServerRegistry
overall_risk_router,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,71,build: overall_risk_router (#1593),2026-07-18,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
registry_family_dedup_report,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,144,build: registry_family_dedup_report (#1567),2026-07-17,MCPServerRegistry->McpServerRegistry
registry_freshness_report,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,200,build: server_registry_freshness_report (#1513),2026-07-15,MCPServerRegistry->McpServerRegistry
registry_growth_snapshot_rollup,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,90,build: registry_growth_snapshot_rollup (#1533),2026-07-16,MCPServerRegistry->McpServerRegistry
registry_source_freshness_report_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,171,build: build_registry_source_freshness_report_api (#1748),2026-07-22,MCPServerRegistry->McpServerRegistry
registry_source_risk_breakdown_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,199,build: build_registry_source_risk_breakdown_api (#1689),2026-07-20,MCPServerRegistry->McpServerRegistry
rescore_wallclock_projection_report,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,115,build: rescore_wallclock_projection_report (#1538),2026-07-16,MCPServerRegistry->McpServerRegistry
risk_tier_by_source_report_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,101,build: build_risk_tier_by_source_report_api (#1745),2026-07-22,MCPServerRegistry->McpServerRegistry
risk_tier_comparison_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,74,build: build_risk_tier_comparison_api (#1487),2026-07-15,MCPServerRegistry->McpServerRegistry
risk_tier_distribution_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,125,build: risk_tier_distribution_api (#1337),2026-07-08,MCPServerRegistry->McpServerRegistry
risk_tier_overview_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,113,build: build_risk_tier_overview_api (#1682),2026-07-20,MCPServerRegistry->McpServerRegistry
risk_tier_router,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,126,build: risk_tier_router (#1660),2026-07-20,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
risk_tier_summary_router,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,64,build: risk_tier_summary_router (#1765),2026-07-23,MCPLLMAxisScore->McpLlmAxisScore
run_reconciliation_report,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,84,build: run_reconciliation_report (#1664),2026-07-20,McpLlmAxisScores->McpLlmAxisScore
score_change_delta_report,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,194,build: build_score_change_delta_report (#1630),2026-07-19,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
score_change_timeline_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,144,build: build_score_change_timeline_api (#1626),2026-07-19,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
score_delta_audit_report_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,218,build: score_delta_audit_report_api (#1697),2026-07-21,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScore->McpLlmAxisScore
scoring_axis_distribution_heatmap_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,121,build: scoring_axis_distribution_heatmap_api (#1657),2026-07-20,McpLlmAxisScores->McpLlmAxisScore
scoring_axis_label_distribution_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,168,build: scoring_axis_label_distribution_api (#1586),2026-07-17,McpLlmAxisScores->McpLlmAxisScore
scoring_consumer_health_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,104,build: scoring_consumer_health_api (#1353),2026-07-09,McpLlmAxisScores->McpLlmAxisScore
scoring_drift_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,165,build: scoring_drift_api (#1497),2026-07-15,MCPLLMAxisScore->McpLlmAxisScore
scoring_trend_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,176,build: scoring_trend_api (#1371),2026-07-10,McpLlmAxisScores->McpLlmAxisScore
scoring_wave_history_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,98,build: scoring_wave_history_api (#1615),2026-07-18,McpLlmAxisScores->McpLlmAxisScore
server_age_rollup_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,114,build: server_age_rollup_api (#1507),2026-07-15,MCPServerRegistry->McpServerRegistry
server_axis_detail_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,247,build: server_axis_detail_api (#1433),2026-07-12,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
server_axis_detail_router,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,82,build: server_axis_detail_router (#1501),2026-07-15,MCPLLMAxisScore->McpLlmAxisScore
server_axis_evidence_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,158,build: server_axis_evidence_api (#1355),2026-07-09,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScore->McpLlmAxisScore
server_axis_history_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,274,build: build_server_axis_history_api (#1691),2026-07-21,MCPLLMAxisScore->McpLlmAxisScore
server_axis_score_detail_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,133,build: server_axis_score_detail_api (#1563),2026-07-17,MCPLLMAxisScore->McpLlmAxisScore
server_axis_score_detail_router,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,117,build: server_axis_score_detail_router (#1581),2026-07-17,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
server_axis_score_timeline_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,224,build: server_axis_score_timeline_api (#1558),2026-07-17,McpLlmAxisScores->McpLlmAxisScore
server_axis_scores_summary_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,103,build: server_axis_scores_summary_api (#1595),2026-07-18,McpLlmAxisScores->McpLlmAxisScore
server_capability_comparison_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,140,build: server_capability_comparison_api (#1373),2026-07-10,McpLlmAxisScores->McpLlmAxisScore
server_compare_dashboard_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,114,build: build_server_compare_dashboard_api (#1523),2026-07-16,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
server_compare_dashboard_api_v2,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,153,build: server_compare_dashboard_api_v2 (#1553),2026-07-16,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
server_detail_api_v2,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,122,build: build_server_detail_api_v2 (#1488),2026-07-15,MCPServerRegistry->McpServerRegistry
server_facet_search_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,197,build: server_facet_search_api (#1495),2026-07-15,MCPServerRegistry->McpServerRegistry
server_full_scorecard_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,141,build: server_full_scorecard_api (#1735),2026-07-22,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore;MCPScoreDisputes->McpScoreDispute
server_never_scored_backlog_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,134,build: build_server_never_scored_backlog_api (#1591),2026-07-18,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
server_overall_risk_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,73,build: server_overall_risk_api (#1491),2026-07-15,MCPServerRegistry->McpServerRegistry
server_overall_risk_summary_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,108,build: server_overall_risk_summary_api (#1559),2026-07-17,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
server_overall_risk_summary_router,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,137,build: server_overall_risk_summary_router (#1521),2026-07-16,MCPLLMAxisScores->McpLlmAxisScore
server_pagination_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,101,build: server_pagination_api (#1769),2026-07-24,MCPServerRegistry->McpServerRegistry
server_perspective_change_timeline_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,123,build: server_perspective_change_timeline_api (#1728),2026-07-22,MCPServerRegistry->McpServerRegistry
server_risk_audit_log_router,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,66,build: server_risk_audit_log_router (#1520),2026-07-16,MCPServerRegistry->McpServerRegistry
server_risk_delta_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,168,build: server_risk_delta_api (#1372),2026-07-10,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
server_risk_detail_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,219,build: server_risk_detail_api (#1759),2026-07-23,McpLlmAxisScores->McpLlmAxisScore
server_risk_summary_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,120,build: server_risk_summary_api (#1529),2026-07-16,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
server_risk_tier_history_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,101,build: server_risk_tier_history_api (#1367),2026-07-09,MCPLLMAxisScore->McpLlmAxisScore
server_risk_trend_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,136,build: server_risk_trend_api (#1459),2026-07-13,McpLlmAxisScores->McpLlmAxisScore
server_risk_trend_router,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,88,build: server_risk_trend_router (#1649),2026-07-19,MCPLLMAxisScores->McpLlmAxisScore
server_score_delta_timeline_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,120,build: server_score_delta_timeline_api (#1658),2026-07-20,MCPServerRegistry->McpServerRegistry;MCPLlmAxisScore->McpLlmAxisScore
server_score_summary_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,168,build: server_score_summary_api (#1370),2026-07-10,MCPLLMAxisScore->McpLlmAxisScore
server_scorecard_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,147,build: server_scorecard_api (#1780),2026-07-24,McpLlmAxisScores->McpLlmAxisScore
server_scoring_freshness_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,130,build: server_scoring_freshness_api (#1555),2026-07-17,McpLlmAxisScores->McpLlmAxisScore
server_scoring_history_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,276,build: server_scoring_history_api (#1425),2026-07-11,MCPLLMAxisScore->McpLlmAxisScore
server_scoring_metadata_api,BROKEN_IMPORT,"REVIVE (linter --fix, then judge)",1,True,104,build: server_scoring_metadata_api (#1415),2026-07-11,MCPServerRegistry->McpServerRegistry;MCPLLMAxisScores->McpLlmAxisScore
